rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
76,frame_0388.jpg,155.2,0.5142,0.6644,0.5,0.16,11,4,False,False
77,frame_0316.jpg,126.4,0.5141,0.6642,0.5,0.16,10,4,False,False
78,frame_0132.jpg,52.8,0.5137,0.4024,0.375,1.0,8,3,False,False
79,frame_0298.jpg,119.2,0.5134,0.5779,0.375,0.56,5,3,False,False
80,frame_0167.jpg,66.8,0.5121,0.4843,0.5,0.6,7,4,False,False
81,frame_0003.jpg,1.2,0.511,0.472,0.25,1.0,8,2,False,False
82,frame_0329.jpg,131.6,0.511,0.54,0.75,0.08,13,6,False,False
83,frame_0287.jpg,114.8,0.5105,0.524,0.375,0.68,6,3,False,False
84,frame_0288.jpg,115.2,0.5099,0.5068,0.375,0.72,6,3,False,False
85,frame_0396.jpg,158.4,0.5093,0.6546,0.5,0.16,9,4,False,False
86,frame_0390.jpg,156.0,0.5072,0.6075,0.625,0.08,11,5,False,False
87,frame_0330.jpg,132.0,0.5071,0.6983,0.5,0.04,14,4,False,False
88,frame_0292.jpg,116.8,0.5052,0.4655,0.375,0.8,6,3,False,False
89,frame_0176.jpg,70.4,0.502,0.533,0.625,0.24,9,5,False,False
90,frame_0022.jpg,8.8,0.5013,0.3777,0.375,1.0,5,3,False,False
91,frame_0278.jpg,111.2,0.4942,0.7104,0.25,0.32,9,2,False,False
92,frame_0283.jpg,113.2,0.4896,0.5462,0.375,0.52,8,3,False,False
93,frame_0375.jpg,150.0,0.4879,0.6707,0.375,0.2,10,3,False,False
94,frame_0319.jpg,127.6,0.4869,0.6368,0.375,0.28,10,3,False,False
95,frame_0097.jpg,38.8,0.4862,0.5654,0.625,0.08,9,5,False,False
96,frame_0020.jpg,8.0,0.485,0.42,0.25,1.0,6,2,False,False
97,frame_0398.jpg,159.2,0.4829,0.4948,0.625,0.24,12,5,False,False
98,frame_0117.jpg,46.8,0.4809,0.6518,0.25,0.4,7,2,False,False
99,frame_0275.jpg,110.0,0.4809,0.6569,0.375,0.2,10,3,False,False
100,frame_0181.jpg,72.4,0.4769,0.5629,0.625,0.04,8,5,False,False
101,frame_0193.jpg,77.2,0.4747,0.4784,0.625,0.24,6,5,False,False
102,frame_0306.jpg,122.4,0.4743,0.7777,0.125,0.24,9,1,False,False
103,frame_0006.jpg,2.4,0.4732,0.4714,0.125,1.0,8,1,False,False
104,frame_0300.jpg,120.0,0.4719,0.6018,0.25,0.48,4,2,False,False
105,frame_0070.jpg,28.0,0.4652,0.4554,0.125,1.0,9,1,False,False
106,frame_0012.jpg,4.8,0.4633,0.4517,0.125,1.0,3,1,False,False
107,frame_0293.jpg,117.2,0.463,0.4719,0.25,0.76,8,2,False,False
108,frame_0373.jpg,149.2,0.463,0.6371,0.375,0.16,10,3,False,False
109,frame_0370.jpg,148.0,0.4626,0.6841,0.375,0.04,9,3,False,False
110,frame_0321.jpg,128.4,0.4587,0.5374,0.5,0.2,8,4,False,False
111,frame_0276.jpg,110.4,0.4577,0.7445,0.125,0.24,10,1,False,False
112,frame_0291.jpg,116.4,0.4564,0.5017,0.125,0.84,6,1,False,False
113,frame_0328.jpg,131.2,0.4555,0.729,0.25,0.08,10,2,False,False
114,frame_0133.jpg,53.2,0.4552,0.3604,0.25,1.0,7,2,False,False
115,frame_0232.jpg,92.8,0.4546,0.5291,0.5,0.2,10,4,False,False
116,frame_0282.jpg,112.8,0.4546,0.4922,0.375,0.48,8,3,False,False
117,frame_0203.jpg,81.2,0.4537,0.5015,0.25,0.64,4,2,False,False
118,frame_0095.jpg,38.0,0.4531,0.5422,0.5,0.16,9,4,False,False
119,frame_0229.jpg,91.6,0.4524,0.5727,0.5,0.08,9,4,False,False
120,frame_0017.jpg,6.8,0.4519,0.3537,0.25,1.0,5,2,False,False
121,frame_0210.jpg,84.0,0.4514,0.4807,0.25,0.68,3,2,False,False
122,frame_0190.jpg,76.0,0.4511,0.7041,0.25,0.12,5,2,False,False
123,frame_0116.jpg,46.4,0.4507,0.5325,0.375,0.36,6,3,False,False
124,frame_0168.jpg,67.2,0.4499,0.4508,0.375,0.56,6,3,False,False
125,frame_0274.jpg,109.6,0.4461,0.5281,0.5,0.16,8,4,False,False
126,frame_0294.jpg,117.6,0.4443,0.4506,0.25,0.72,6,2,False,False
127,frame_0086.jpg,34.4,0.4407,0.3735,0.5,0.52,7,4,False,False
128,frame_0018.jpg,7.2,0.4405,0.406,0.125,1.0,6,1,False,False
129,frame_0184.jpg,73.6,0.4398,0.6975,0.25,0.08,7,2,False,False
130,frame_0130.jpg,52.0,0.4391,0.3601,0.25,0.92,4,2,False,False
131,frame_0121.jpg,48.4,0.4385,0.428,0.375,0.56,5,3,False,False
132,frame_0011.jpg,4.4,0.438,0.326,0.25,1.0,6,2,False,False
133,frame_0202.jpg,80.8,0.437,0.484,0.25,0.6,5,2,False,False
134,frame_0383.jpg,153.2,0.4353,0.5976,0.375,0.12,8,3,False,False
135,frame_0080.jpg,32.0,0.4301,0.4061,0.25,0.76,10,2,False,False
136,frame_0175.jpg,70.0,0.4294,0.5217,0.375,0.28,10,3,False,False
137,frame_0124.jpg,49.6,0.4282,0.4344,0.25,0.68,10,2,False,False
138,frame_0304.jpg,121.6,0.4276,0.5022,0.375,0.32,8,3,False,False
139,frame_0384.jpg,153.6,0.4261,0.4882,0.5,0.16,10,4,False,False
140,frame_0115.jpg,46.0,0.4243,0.5706,0.25,0.32,6,2,False,False
141,frame_0105.jpg,42.0,0.4239,0.5908,0.375,0.08,9,3,False,False
142,frame_0314.jpg,125.6,0.4222,0.5874,0.375,0.08,7,3,False,False
143,frame_0125.jpg,50.0,0.4196,0.4762,0.125,0.72,7,1,False,False
144,frame_0005.jpg,2.0,0.4173,0.3595,0.125,1.0,5,1,False,False
145,frame_0317.jpg,126.8,0.4164,0.5279,0.375,0.2,8,3,False,False
146,frame_0301.jpg,120.4,0.4155,0.43,0.375,0.44,8,3,False,False
147,frame_0118.jpg,47.2,0.4145,0.5029,0.25,0.44,11,2,False,False
148,frame_0113.jpg,45.2,0.4117,0.4274,0.5,0.24,9,4,False,False
149,frame_0222.jpg,88.8,0.4106,0.6663,0.125,0.2,7,1,False,False
150,frame_0216.jpg,86.4,0.4057,0.4104,0.375,0.44,6,3,False,False
151,frame_0305.jpg,122.0,0.4047,0.4725,0.375,0.28,3,3,False,False
152,frame_0178.jpg,71.2,0.4041,0.5942,0.25,0.16,7,2,False,False
153,frame_0192.jpg,76.8,0.4031,0.5011,0.375,0.2,7,3,False,False
154,frame_0025.jpg,10.0,0.4004,0.3258,0.125,1.0,6,1,False,False
155,frame_0212.jpg,84.8,0.399,0.408,0.25,0.6,6,2,False,False
156,frame_0102.jpg,40.8,0.3983,0.4487,0.5,0.12,6,4,False,False
157,frame_0010.jpg,4.0,0.3982,0.3964,0.0,1.0,2,0,False,False
158,frame_0296.jpg,118.4,0.3977,0.3893,0.25,0.64,5,2,False,False
159,frame_0197.jpg,78.8,0.3972,0.5594,0.125,0.4,1,1,False,False
160,frame_0089.jpg,35.6,0.3951,0.4802,0.25,0.4,9,2,False,False
161,frame_0393.jpg,157.2,0.3946,0.5482,0.375,0.04,8,3,False,False
162,frame_0179.jpg,71.6,0.3917,0.5104,0.375,0.12,8,3,False,False
163,frame_0023.jpg,9.2,0.3886,0.3022,0.125,1.0,4,1,False,False
164,frame_0320.jpg,128.0,0.3862,0.4514,0.375,0.24,11,3,False,False
165,frame_0376.jpg,150.4,0.3861,0.6332,0.125,0.16,9,1,False,False
166,frame_0177.jpg,70.8,0.3858,0.6165,0.125,0.2,8,1,False,False
167,frame_0381.jpg,152.4,0.3846,0.5281,0.375,0.04,6,3,False,False
